,deaths,energy_used,kills,missiles_fired,points,run,status,tank,team,,Confidence Value,,0.95,,,,,,,,,
249,8,740,8,56,40,38,loser,red,1,,,,,,,,,,,,,
250,5,60,4,19,13,38,loser,yellow,0,,,,,,,,,,,,,
251,8,720,10,69,54,38,winner,green,1,,,,,,,,,,,,,
252,8,300,9,58,50,37,winner,blue,0,,,,,,,,,,,,,
253,7,760,8,63,40,37,loser,red,1,,,,,,,,,,,,,
254,14,580,10,58,19,37,loser,yellow,0,,,,,,,,,,,,,
255,5,340,7,50,43,37,loser,green,1,,,,,,,,,,,,,
256,6,320,4,28,3,36,loser,blue,0,,,,,,,,,,,,,
257,1,220,6,41,53,36,winner,red,1,,,,,,,,,,,,,
258,5,100,3,13,1,36,loser,yellow,0,,,,,,,,,,,,,
259,4,380,4,29,32,36,loser,green,1,,,,,,,,,,,,,
260,9,340,4,23,-10,35,loser,blue,0,,,,,,,,,,,,,
261,5,320,5,36,34,35,loser,red,1,,,,,,,,,,,,,
262,6,360,7,47,42,35,loser,yellow,0,,,,,,,,,,,,,
263,7,720,11,65,51,35,winner,green,1,,,,,,,,,,,,,
264,3,220,2,25,7,34,loser,blue,0,,,,,,,,,,,,,
265,5,620,3,23,8,34,loser,red,1,,,,,,,,,,,,,
266,4,480,5,48,33,34,loser,yellow,0,,,,,,,,,,,,,
267,5,520,8,59,50,34,winner,green,1,,,,,,,,,,,,,
268,7,340,8,27,34,33,loser,blue,0,,,,,,,,,,,,,
269,8,140,10,65,50,33,winner,red,1,,,,,,,,,,,,,
270,11,340,7,46,9,33,loser,yellow,0,,,,,,,,,,,,,
271,6,660,8,49,41,33,loser,green,1,,,,,,,,,,,,,
272,4,300,2,22,-1,32,loser,blue,0,,,,,,,,,,,,,
273,4,180,4,33,22,32,loser,red,1,,,,,,,,,,,,,
274,4,600,8,55,52,32,winner,yellow,0,,,,,,,,,,,,,
275,4,80,2,17,0,32,loser,green,1,,,,,,,,,,,,,
276,7,300,8,33,41,31,loser,blue,0,,,,,,,,,,,,,
277,6,80,10,54,53,31,winner,red,1,,,,,,,,,,,,,
278,8,40,9,42,39,31,loser,yellow,0,,,,,,,,,,,,,
279,13,80,7,45,-3,31,loser,green,1,,,,,,,,,,,,,
280,7,200,2,25,-15,30,loser,blue,0,,,,,,,,,,,,,
281,3,140,8,39,51,30,winner,red,1,,,,,,,,,,,,,
282,3,1040,4,47,27,30,loser,yellow,0,,,,,,,,,,,,,
283,6,500,5,60,22,30,loser,green,1,,,,,,,,,,,,,
284,5,460,6,33,24,29,loser,blue,0,,,,,,,,,,,,,
285,7,420,3,29,10,29,loser,red,1,,,,,,,,,,,,,
286,7,480,4,41,6,29,loser,yellow,0,,,,,,,,,,,,,
287,0,100,6,47,51,29,winner,green,1,,,,,,,,,,,,,
288,8,340,6,31,21,28,loser,blue,0,,,,,,,,,,,,,
289,10,520,11,69,46,28,loser,red,1,,,,,,,,,,,,,
290,13,720,11,82,43,28,loser,yellow,0,,,,,,,,,,,,,
291,7,780,11,75,51,28,winner,green,1,,,,,,,,,,,,,
292,6,680,2,25,-9,27,loser,blue,0,,,,,,,,,,,,,
293,4,380,7,51,50,27,winner,red,1,,,,,,,,,,,,,
294,4,300,4,18,13,27,loser,yellow,0,,,,,,,,,,,,,
295,4,460,5,17,18,27,loser,green,1,,,,,,,,,,,,,
296,9,640,3,27,-5,26,loser,blue,0,,,,,,,,,,,,,
297,2,420,7,61,53,26,winner,red,1,,,,,,,,,,,,,
298,8,780,8,54,32,26,loser,yellow,0,,,,,,,,,,,,,
299,6,200,7,46,25,26,loser,green,1,,,,,,,,,,,,,
